,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production
618,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Brinjal,0.451,8.211
619,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Castor seed,24.154,9.179
621,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Cotton,27.566,35.511
622,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Cowpea,0.586,0.036
623,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Chillies,2.736,5.603
624,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Grapes,0.238,7.606
625,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Groundnut,708.708,295.531
627,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Jowar,7.599,6.93
628,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Linseed,0.007,0.003
629,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Maize,22.039,63.516
631,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Onion,1.548,25.393
632,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Papaya,0.447,17.197
633,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Ragi,1.589,2.336
634,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Rice,22.056,58.691
635,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Soyabean,0.919,1.671
636,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Sugarcane,0.076,6.954
637,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Sunflower,6.121,5.197
638,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Tomato,2.552,38.561
640,Andhra Pradesh,ANANTAPUR,2012,Kharif     ,Urad,0.031,0.029
641,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Bajra,0.02,0.013
642,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Brinjal,0.251,4.57
643,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Castor seed,0.232,0.088
645,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Cotton,0.077,0.099
646,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Cowpea,0.081,0.074
647,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Chillies,0.07,0.159
648,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Gram,89.676,77.301
649,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Groundnut,20.987,34.419
651,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Jowar,5.795,3.141
652,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Maize,7.07,50.098
654,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Onion,0.084,1.195
655,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Potato,0.036,0.634
656,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Ragi,0.823,1.227
657,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Rice,6.998,17.768
658,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Safflower,0.02,0.033
659,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Sunflower,4.459,1.904
660,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Sweet potato,0.007,0.067
661,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Tomato,1.395,31.096
662,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Urad,0.153,0.156
663,Andhra Pradesh,ANANTAPUR,2012,Rabi       ,Wheat,0.134,0.151
664,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Bajra,1.332,1.227
665,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Brinjal,0.407,8.624
666,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cabbage,0.002,0.038
667,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Castor seed,11.416,5.366
668,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cotton,37.661,77.316
669,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Cowpea,0.527,0.253
670,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Chillies,2.647,3.965
671,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Grapes,0.247,5.644
672,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Groundnut,711.145,286.591
674,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Jowar,14.486,9.749
675,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Linseed,0.007,0.003
676,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Maize,27.087,53.226
678,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Onion,1.414,31.097
679,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Papaya,0.23,22.418
680,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Ragi,2.055,3.163
681,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Rice,28.114,59.377
682,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Soyabean,2.401,3.866
683,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Sugarcane,0.281,26.505
684,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Sunflower,8.109,6.698
685,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Tomato,2.991,88.62
687,Andhra Pradesh,ANANTAPUR,2013,Kharif     ,Urad,0.048,0.045
688,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Bajra,0.017,0.016
689,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Brinjal,0.356,7.543
690,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cabbage,0.011,0.207
691,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Castor seed,0.031,0.015
693,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cotton,0.062,0.127
694,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Cowpea,0.032,0.026
695,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Chillies,0.027,0.054
696,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Gram,85.768,68.614
697,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Groundnut,17.303,26.335
699,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Jowar,6.605,3.137
700,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Maize,7.777,57.97
702,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Onion,0.611,14.317
703,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Ragi,0.822,1.462
704,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Rice,12.283,28.558
705,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Safflower,0.058,0.041
706,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Sunflower,5.911,2.879
707,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Sweet potato,0.001,0.009
708,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Tomato,3.482,80.532
709,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Urad,0.004,0.003
710,Andhra Pradesh,ANANTAPUR,2013,Rabi       ,Wheat,0.062,0.039
711,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Banana,8.661,483.881
712,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Castor seed,11.447,5.381
714,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Linseed,0.007,0.003
715,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Potato,0.082,1.179
716,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Safflower,0.058,0.041
717,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Sweet potato,0.001,0.009
718,Andhra Pradesh,ANANTAPUR,2013,Whole Year ,Wheat,0.062,0.039
719,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Bajra,1.752,1.028
720,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Brinjal,0.32,7.596
721,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cabbage,0.01,0.123
722,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Castor seed,10.32,5.903
724,Andhra Pradesh,ANANTAPUR,2014,Kharif     ,Cotton,73.734,103.779
