Crop_Year,State_Name,District_Name,Season,Crop,Area,Production
1998,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,14.8,22.1
1998,Andhra Pradesh,ANANTAPUR,Rabi,Maize,0.3,1.6
1998,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,0.7,1.2
1998,Andhra Pradesh,ANANTAPUR,Rabi,Rice,26.6,63.9
1998,Andhra Pradesh,ANANTAPUR,Rabi,Sunflower,13.5,3.3
1998,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,0.4,0.2
1998,Andhra Pradesh,ANANTAPUR,Whole Year,Sugarcane,0.7,65.9
1999,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,1.635,0.889
1999,Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,1.88,0.355
1999,Andhra Pradesh,ANANTAPUR,Kharif,Cotton,9.453,10.51
1999,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,694.865,249.457
1999,Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,1.762,0.495
1999,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,11.131,14.582
1999,Andhra Pradesh,ANANTAPUR,Kharif,Maize,3.358,9.54
1999,Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),1.546,1.098
1999,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,6.215,11.467
1999,Andhra Pradesh,ANANTAPUR,Kharif,Rice,37.991,105.082
1999,Andhra Pradesh,ANANTAPUR,Kharif,Sesamum,0.008,0.002
1999,Andhra Pradesh,ANANTAPUR,Kharif,Urad,0.004,0.002
1999,Andhra Pradesh,ANANTAPUR,Rabi,Bajra,0.099,0.054
1999,Andhra Pradesh,ANANTAPUR,Rabi,Gram,26.835,9.365
1999,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,21.785,25.358
1999,Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,1.071,0.327
1999,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,21.487,30.576
1999,Andhra Pradesh,ANANTAPUR,Rabi,Linseed,0.012,0.001
1999,Andhra Pradesh,ANANTAPUR,Rabi,Maize,0.455,2.203
1999,Andhra Pradesh,ANANTAPUR,Rabi,Moong(Green Gram),0.001,0.001
1999,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,0.734,1.18
1999,Andhra Pradesh,ANANTAPUR,Rabi,Rice,20.258,45.669
1999,Andhra Pradesh,ANANTAPUR,Rabi,Safflower,0.881,0.145
1999,Andhra Pradesh,ANANTAPUR,Rabi,Sesamum,0.01,0.002
1999,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,0.439,0.294
1999,Andhra Pradesh,ANANTAPUR,Whole Year,Chillies,5.199,5.759
1999,Andhra Pradesh,ANANTAPUR,Whole Year,Onion,1.77,32.364
1999,Andhra Pradesh,ANANTAPUR,Whole Year,Sugarcane,0.884,83.126
2000,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,2.477,1.449
2000,Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,9.315,2.831
2000,Andhra Pradesh,ANANTAPUR,Kharif,Cotton,12.025,16.128
2000,Andhra Pradesh,ANANTAPUR,Kharif,Chillies,3.755,10.146
2000,Andhra Pradesh,ANANTAPUR,Kharif,Gram,0.021,0.014
2000,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,791.559,884.963
2000,Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,0.601,0.215
2000,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,5.071,14.351
2000,Andhra Pradesh,ANANTAPUR,Kharif,Maize,3.475,9.049
2000,Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),1.744,0.774
2000,Andhra Pradesh,ANANTAPUR,Kharif,Onion,1.103,15.47
2000,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,6.613,16.923
2000,Andhra Pradesh,ANANTAPUR,Kharif,Rice,39.905,117.68
2000,Andhra Pradesh,ANANTAPUR,Kharif,Sesamum,0.005,0.001
2000,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,30.606,24.59
2000,Andhra Pradesh,ANANTAPUR,Kharif,Urad,0.135,0.008
2000,Andhra Pradesh,ANANTAPUR,Rabi,Bajra,0.317,0.185
2000,Andhra Pradesh,ANANTAPUR,Rabi,Chillies,0.071,0.081
2000,Andhra Pradesh,ANANTAPUR,Rabi,Gram,33.858,22.685
2000,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,23.048,23.832
2000,Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,0.377,0.08
2000,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,15.242,16.98
2000,Andhra Pradesh,ANANTAPUR,Rabi,Linseed,0.008,0.002
2000,Andhra Pradesh,ANANTAPUR,Rabi,Maize,0.399,2.148
2000,Andhra Pradesh,ANANTAPUR,Rabi,Onion,0.482,11.514
2000,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,0.909,1.312
2000,Andhra Pradesh,ANANTAPUR,Rabi,Rice,22.099,57.236
2000,Andhra Pradesh,ANANTAPUR,Rabi,Safflower,0.703,0.129
2000,Andhra Pradesh,ANANTAPUR,Rabi,Urad,0.363,0.292
2000,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,0.52,0.297
2000,Andhra Pradesh,ANANTAPUR,Whole Year,Banana,0.769,11.693
2000,Andhra Pradesh,ANANTAPUR,Whole Year,Coriander,8.953,2.266
2000,Andhra Pradesh,ANANTAPUR,Whole Year,Potato,0.004,0.034
2000,Andhra Pradesh,ANANTAPUR,Whole Year,Sugarcane,0.284,25.395
2000,Andhra Pradesh,ANANTAPUR,Whole Year,Sweet potato,0.028,0.379
2000,Andhra Pradesh,ANANTAPUR,Whole Year,Turmeric,0.039,0.272
2001,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,1.595,0.526
2001,Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,3.191,0.9
2001,Andhra Pradesh,ANANTAPUR,Kharif,Cotton,8.552,9.055
2001,Andhra Pradesh,ANANTAPUR,Kharif,Chillies,3.765,7.127
2001,Andhra Pradesh,ANANTAPUR,Kharif,Gram,0.016,0.017
2001,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,758.7,333.828
2001,Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,0.649,0.06
2001,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,3.9,6.72
2001,Andhra Pradesh,ANANTAPUR,Kharif,Maize,2.667,7.129
2001,Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),1.511,0.73
2001,Andhra Pradesh,ANANTAPUR,Kharif,Onion,1.165,19.232
2001,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,5.124,12.405
2001,Andhra Pradesh,ANANTAPUR,Kharif,Rice,32.878,95.609
2001,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,51.61,33.58
2001,Andhra Pradesh,ANANTAPUR,Kharif,Urad,0.487,0.176
2001,Andhra Pradesh,ANANTAPUR,Rabi,Bajra,0.027,0.009
2001,Andhra Pradesh,ANANTAPUR,Rabi,Chillies,0.108,0.168
2001,Andhra Pradesh,ANANTAPUR,Rabi,Gram,47.894,50.145
2001,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,18.773,29.192
2001,Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,0.417,0.226
2001,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,15.17,17.446
2001,Andhra Pradesh,ANANTAPUR,Rabi,Linseed,0.005,0.001
2001,Andhra Pradesh,ANANTAPUR,Rabi,Maize,0.447,2.893
2001,Andhra Pradesh,ANANTAPUR,Rabi,Moong(Green Gram),0.04,0.012
2001,Andhra Pradesh,ANANTAPUR,Rabi,Onion,0.38,8.465
2001,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,0.544,0.725
2001,Andhra Pradesh,ANANTAPUR,Rabi,Rice,38.119,108.906
2001,Andhra Pradesh,ANANTAPUR,Rabi,Safflower,3.768,0.528
2001,Andhra Pradesh,ANANTAPUR,Rabi,Sesamum,0.002,0.001
2001,Andhra Pradesh,ANANTAPUR,Rabi,Urad,0.127,0.086
2001,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,0.307,0.213
2001,Andhra Pradesh,ANANTAPUR,Whole Year,Banana,1.582,0.462
2001,Andhra Pradesh,ANANTAPUR,Whole Year,Coriander,4.741,1.119
2001,Andhra Pradesh,ANANTAPUR,Whole Year,Sugarcane,0.49,42.47
2001,Andhra Pradesh,ANANTAPUR,Whole Year,Sweet potato,0.031,0.411
2001,Andhra Pradesh,ANANTAPUR,Whole Year,Turmeric,0.008,0.04
2002,Andhra Pradesh,ANANTAPUR,Kharif,Bajra,1.925,0.581
2002,Andhra Pradesh,ANANTAPUR,Kharif,Castor seed,2.05,0.416
2002,Andhra Pradesh,ANANTAPUR,Kharif,Cotton,7.638,7.144
2002,Andhra Pradesh,ANANTAPUR,Kharif,Chillies,2.737,6.128
2002,Andhra Pradesh,ANANTAPUR,Kharif,Groundnut,732.262,259.953
2002,Andhra Pradesh,ANANTAPUR,Kharif,Horse-gram,0.947,0.14
2002,Andhra Pradesh,ANANTAPUR,Kharif,Jowar,2.906,4.545
2002,Andhra Pradesh,ANANTAPUR,Kharif,Maize,3.541,3.431
2002,Andhra Pradesh,ANANTAPUR,Kharif,Moong(Green Gram),1.15,0.174
2002,Andhra Pradesh,ANANTAPUR,Kharif,Onion,0.776,8.432
2002,Andhra Pradesh,ANANTAPUR,Kharif,Ragi,5.157,12.14
2002,Andhra Pradesh,ANANTAPUR,Kharif,Rice,29.066,66.329
2002,Andhra Pradesh,ANANTAPUR,Kharif,Soyabean,0.051,0.0
2002,Andhra Pradesh,ANANTAPUR,Kharif,Sunflower,60.319,22.149
2002,Andhra Pradesh,ANANTAPUR,Kharif,Urad,0.032,0.002
2002,Andhra Pradesh,ANANTAPUR,Rabi,Bajra,0.129,0.039
2002,Andhra Pradesh,ANANTAPUR,Rabi,Chillies,0.083,0.161
2002,Andhra Pradesh,ANANTAPUR,Rabi,Gram,54.264,20.186
2002,Andhra Pradesh,ANANTAPUR,Rabi,Groundnut,17.529,18.651
2002,Andhra Pradesh,ANANTAPUR,Rabi,Horse-gram,1.859,0.688
2002,Andhra Pradesh,ANANTAPUR,Rabi,Jowar,12.676,11.497
2002,Andhra Pradesh,ANANTAPUR,Rabi,Linseed,0.008,0.002
2002,Andhra Pradesh,ANANTAPUR,Rabi,Maize,1.288,8.933
2002,Andhra Pradesh,ANANTAPUR,Rabi,Moong(Green Gram),0.004,0.001
2002,Andhra Pradesh,ANANTAPUR,Rabi,Onion,0.401,7.192
2002,Andhra Pradesh,ANANTAPUR,Rabi,Ragi,0.417,0.517
2002,Andhra Pradesh,ANANTAPUR,Rabi,Rice,10.96,20.462
2002,Andhra Pradesh,ANANTAPUR,Rabi,Safflower,2.594,0.34
2002,Andhra Pradesh,ANANTAPUR,Rabi,Urad,0.408,0.236
2002,Andhra Pradesh,ANANTAPUR,Rabi,Wheat,0.362,0.333
2002,Andhra Pradesh,ANANTAPUR,Whole Year,Banana,0.019,1.006
